Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Customer Type,Sales Channel,Unit Cost,Total Cost,Profit
10001,2024-01-01,Electronics,Samsung Galaxy S24,12,894.49,10733.88,North America,UPI,New,Mobile App,699.33,8391.96,2341.92
10002,2024-01-02,Books,The Da Vinci Code,12,16.45,197.4,Australia,Debit Card,New,Mobile App,9.62,115.44,81.96
10003,2024-01-03,Books,Atomic Habits,10,20.64,206.4,Asia,PayPal,Returning,Online,13.82,138.2,68.2
10004,2024-01-04,Beauty Products,Neutrogena Skincare Set,13,91.17,1185.21,South America,PayPal,VIP,Mobile App,68.8,894.4,290.81
10005,2024-01-05,Books,The Da Vinci Code,12,15.5,186.0,Asia,Credit Card,New,Store,10.48,125.76,60.24
10006,2024-01-07,Beauty Products,The Ordinary Serum,12,26.16,313.92,Australia,PayPal,Returning,Online,16.69,200.28,113.64
10007,2024-01-08,Home Appliances,Philips Air Fryer,2,129.67,259.34,Asia,UPI,New,Mobile App,79.26,158.52,100.82
10008,2024-01-09,Clothing,Nike Air Max,11,147.18,1618.98,Asia,Bank Transfer,New,Online,114.02,1254.22,364.76
10009,2024-01-10,Electronics,Sony WH-1000XM5,11,337.38,3711.18,Australia,Credit Card,Returning,Store,203.77,2241.47,1469.71
10010,2024-01-11,Home Appliances,Philips Air Fryer,11,133.64,1470.04,Asia,Debit Card,New,Online,90.06,990.66,479.38
10011,2024-01-13,Home Appliances,Philips Air Fryer,11,129.61,1425.71,North America,UPI,Returning,Store,91.07,1001.77,423.94
10012,2024-01-14,Electronics,Samsung Galaxy S24,9,882.35,7941.15,Europe,Debit Card,New,Online,492.63,4433.67,3507.48
10013,2024-01-15,Beauty Products,The Ordinary Serum,13,24.33,316.29,Australia,PayPal,New,Store,13.76,178.88,137.41
10014,2024-01-16,Electronics,Samsung Galaxy S24,9,925.54,8329.86,Asia,Debit Card,Returning,Online,675.06,6075.54,2254.32
10015,2024-01-18,Home Appliances,Dyson V11 Vacuum,1,479.49,479.49,South America,Debit Card,New,Store,357.24,357.24,122.25
10016,2024-01-19,Beauty Products,The Ordinary Serum,3,25.48,76.44,North America,PayPal,New,Store,17.08,51.24,25.2
10017,2024-01-20,Clothing,Nike Air Max,6,143.81,862.86,Europe,Bank Transfer,VIP,Store,83.68,502.08,360.78
10018,2024-01-21,Home Appliances,Philips Air Fryer,4,136.09,544.36,Europe,UPI,New,Online,103.46,413.84,130.52
10019,2024-01-22,Electronics,iPhone 14 Pro,2,1040.25,2080.5,South America,PayPal,New,Store,700.15,1400.3,680.2
10020,2024-01-24,Clothing,Levi's 501 Jeans,3,72.49,217.47,Asia,UPI,New,Store,54.72,164.16,53.31
10021,2024-01-25,Electronics,Samsung Galaxy S24,9,913.48,8221.32,South America,Debit Card,New,Online,523.24,4709.16,3512.16
10022,2024-01-26,Electronics,Sony WH-1000XM5,5,337.55,1687.75,North America,Debit Card,New,Mobile App,195.08,975.4,712.35
10023,2024-01-27,Beauty Products,The Ordinary Serum,9,24.61,221.49,Europe,Credit Card,VIP,Online,17.46,157.14,64.35
10024,2024-01-29,Home Appliances,Philips Air Fryer,12,124.57,1494.84,South America,Debit Card,VIP,Store,84.88,1018.56,476.28
10025,2024-01-30,Clothing,Levi's 501 Jeans,8,68.36,546.88,Asia,Debit Card,New,Online,43.72,349.76,197.12
10026,2024-01-31,Home Appliances,Dyson V11 Vacuum,13,519.8,6757.4,Europe,Debit Card,New,Store,305.57,3972.41,2784.99
10027,2024-02-01,Electronics,Samsung Galaxy S24,5,914.34,4571.7,Australia,UPI,New,Mobile App,682.36,3411.8,1159.9
10028,2024-02-02,Beauty Products,The Ordinary Serum,4,23.83,95.32,Asia,PayPal,Returning,Mobile App,16.68,66.72,28.6
10029,2024-02-04,Beauty Products,The Ordinary Serum,5,26.12,130.6,South America,Debit Card,New,Mobile App,16.42,82.1,48.5
10030,2024-02-05,Electronics,Sony WH-1000XM5,3,334.06,1002.18,Australia,Bank Transfer,VIP,Store,222.98,668.94,333.24
10031,2024-02-06,Beauty Products,Neutrogena Skincare Set,14,93.53,1309.42,Asia,PayPal,Returning,Store,64.54,903.56,405.86
10032,2024-02-07,Home Appliances,Dyson V11 Vacuum,6,479.71,2878.26,Europe,PayPal,VIP,Online,360.57,2163.42,714.84
10033,2024-02-09,Electronics,iPhone 14 Pro,2,1033.1,2066.2,South America,Credit Card,Returning,Mobile App,610.96,1221.92,844.28
10034,2024-02-10,Electronics,iPhone 14 Pro,3,981.02,2943.06,Europe,Bank Transfer,Returning,Online,745.48,2236.44,706.62
10035,2024-02-11,Beauty Products,The Ordinary Serum,1,24.31,24.31,North America,UPI,New,Store,14.24,14.24,10.07
10036,2024-02-12,Beauty Products,The Ordinary Serum,11,25.19,277.09,Australia,Bank Transfer,Returning,Store,15.21,167.31,109.78
10037,2024-02-13,Books,Atomic Habits,2,19.24,38.48,North America,PayPal,New,Online,15.4,30.8,7.68
10038,2024-02-15,Clothing,Levi's 501 Jeans,10,73.18,731.8,Australia,Bank Transfer,New,Store,45.91,459.1,272.7
10039,2024-02-16,Electronics,Samsung Galaxy S24,10,864.52,8645.2,South America,Debit Card,VIP,Store,508.24,5082.4,3562.8
10040,2024-02-17,Electronics,Sony WH-1000XM5,14,360.64,5048.96,South America,UPI,New,Online,243.86,3414.04,1634.92
10041,2024-02-18,Electronics,MacBook Air M2,13,1132.64,14724.32,Europe,Debit Card,Returning,Mobile App,694.1,9023.3,5701.02
10042,2024-02-20,Books,Atomic Habits,10,19.82,198.2,Australia,Debit Card,Returning,Mobile App,12.9,129.0,69.2
10043,2024-02-21,Electronics,MacBook Air M2,7,1072.25,7505.75,Australia,UPI,Returning,Online,658.25,4607.75,2898.0
10044,2024-02-22,Beauty Products,Neutrogena Skincare Set,1,90.84,90.84,North America,Bank Transfer,New,Online,53.55,53.55,37.29
10045,2024-02-23,Beauty Products,Neutrogena Skincare Set,14,86.98,1217.72,Asia,Credit Card,New,Online,54.53,763.42,454.3
10046,2024-02-24,Books,The Da Vinci Code,1,15.47,15.47,Asia,Debit Card,Returning,Online,8.73,8.73,6.74
10047,2024-02-26,Books,Atomic Habits,5,20.0,100.0,South America,Bank Transfer,New,Online,15.73,78.65,21.35
10048,2024-02-27,Beauty Products,Neutrogena Skincare Set,4,87.73,350.92,Australia,Debit Card,New,Online,61.78,247.12,103.8
10049,2024-02-28,Beauty Products,The Ordinary Serum,8,23.99,191.92,North America,Credit Card,VIP,Online,18.59,148.72,43.2
10050,2024-02-29,Beauty Products,Neutrogena Skincare Set,13,93.61,1216.93,Europe,Bank Transfer,Returning,Store,76.24,991.12,225.81
10051,2024-03-02,Clothing,Nike Air Max,12,144.51,1734.12,Europe,Debit Card,VIP,Online,100.4,1204.8,529.32
10052,2024-03-03,Books,Atomic Habits,6,20.27,121.62,North America,Credit Card,Returning,Online,12.61,75.66,45.96
10053,2024-03-04,Clothing,Nike Air Max,4,148.0,592.0,South America,PayPal,New,Store,96.04,384.16,207.84
10054,2024-03-05,Electronics,Sony WH-1000XM5,5,365.7,1828.5,Australia,Debit Card,New,Store,291.61,1458.05,370.45
10055,2024-03-06,Beauty Products,The Ordinary Serum,13,25.37,329.81,Asia,Debit Card,Returning,Online,19.46,252.98,76.83
10056,2024-03-08,Electronics,Sony WH-1000XM5,12,339.57,4074.84,Asia,Bank Transfer,New,Store,250.47,3005.64,1069.2
10057,2024-03-09,Clothing,Nike Air Max,2,153.38,306.76,Asia,Bank Transfer,New,Mobile App,87.86,175.72,131.04
10058,2024-03-10,Electronics,Sony WH-1000XM5,13,353.27,4592.51,Australia,UPI,VIP,Online,268.95,3496.35,1096.16
10059,2024-03-11,Books,The Da Vinci Code,9,15.34,138.06,North America,Credit Card,Returning,Store,10.99,98.91,39.15
10060,2024-03-13,Home Appliances,Philips Air Fryer,7,130.28,911.96,Australia,UPI,Returning,Store,98.53,689.71,222.25
10061,2024-03-14,Electronics,Samsung Galaxy S24,14,865.77,12120.78,South America,Credit Card,Returning,Online,503.55,7049.7,5071.08
10062,2024-03-15,Beauty Products,The Ordinary Serum,12,25.42,305.04,South America,Bank Transfer,Returning,Online,16.27,195.24,109.8
10063,2024-03-16,Books,Atomic Habits,6,19.62,117.72,Australia,Credit Card,VIP,Online,11.63,69.78,47.94
10064,2024-03-17,Books,The Da Vinci Code,6,16.36,98.16,Australia,Bank Transfer,Returning,Online,11.44,68.64,29.52
10065,2024-03-19,Electronics,Samsung Galaxy S24,6,943.79,5662.74,Australia,Bank Transfer,New,Mobile App,701.99,4211.94,1450.8
10066,2024-03-20,Beauty Products,Neutrogena Skincare Set,10,86.59,865.9,North America,UPI,New,Online,61.38,613.8,252.1
10067,2024-03-21,Books,The Da Vinci Code,13,15.66,203.58,Europe,Debit Card,New,Mobile App,10.55,137.15,66.43
10068,2024-03-22,Books,The Da Vinci Code,12,15.37,184.44,North America,Bank Transfer,New,Mobile App,12.59,151.08,33.36
10069,2024-03-24,Electronics,iPhone 14 Pro,2,1049.9,2099.8,North America,UPI,New,Mobile App,766.15,1532.3,567.5
10070,2024-03-25,Beauty Products,Neutrogena Skincare Set,1,87.66,87.66,Australia,UPI,New,Mobile App,51.6,51.6,36.06
10071,2024-03-26,Electronics,MacBook Air M2,10,1048.97,10489.7,North America,Credit Card,Returning,Mobile App,578.47,5784.7,4705.0
10072,2024-03-27,Beauty Products,The Ordinary Serum,4,25.86,103.44,South America,Bank Transfer,VIP,Mobile App,14.62,58.48,44.96
10073,2024-03-28,Beauty Products,Neutrogena Skincare Set,11,93.03,1023.33,Asia,PayPal,New,Store,52.18,573.98,449.35
